Block,Plot,Latitude,Longitude,Easting,Northing,Module,Submodule,Elevation,DateVegSampled,BurnDate1,BurnDate2,BurnDate3,Days_since_fire,time_since_fire,FireIntensity,FireHeterogeneity,FutureBurnYear
A,1,,,,,,,,1999-04-26,1990-06-29,1996-02-27,,1154,"3 years, 1 months",,,
A,2,,,,,,,,1999-04-28,1990-06-29,1996-02-27,,1156,"3 years, 2 months",,,
A,3,,,,,,,,1999-04-21,1990-06-29,1996-02-27,,1149,"3 years, 1 months",,,
A,4,,,,,,,,1997-03-05,1990-06-29,1996-02-27,,372,"1 years, 0 months",,,
A,5,,,,,,,,1997-02-25,1990-06-29,1996-02-27,,364,"0 years, 11 months",,,
A,6,,,,,,,,1997-02-06,1990-06-29,1996-02-27,,345,"0 years, 11 months",,,
A,7,,,,,,,,1997-04-21,1990-06-29,1996-02-27,,419,"1 years, 1 months",,,
A,8,,,,,,,,1997-04-14,1990-06-29,1996-02-27,,412,"1 years, 1 months",,,
A,9,,,,,,,,1997-04-04,1990-06-29,1996-02-27,,402,"1 years, 1 months",,,
AA,1,,,,,,,,1998-03-03,1989-07-14,1994-10-28,,1222,"3 years, 4 months",,,
AA,2,,,,,,,,1998-02-27,1989-07-14,1994-10-28,,1218,"3 years, 3 months",,,
AA,3,,,,,,,,1998-02-19,1989-07-14,1994-10-28,,1210,"3 years, 3 months",,,
AA,4,,,,,,,,1998-02-09,1989-07-14,1994-10-28,,1200,"3 years, 3 months",,,
AA,5,,,,,,,,1998-02-05,1989-07-14,1994-10-28,,1196,"3 years, 3 months",,,
C,1,,,,,,,,2000-05-08,1989-07-10,1998-07-25,,653,"1 years, 9 months",,,
C,2,,,,,,,,2000-04-27,1989-07-10,1998-07-25,,642,"1 years, 9 months",,,
C,3,,,,,,,,2000-03-06,1989-07-10,1998-07-25,,590,"1 years, 7 months",,,
C,4,,,,,,,,2000-02-29,1989-07-10,1998-07-25,,584,"1 years, 7 months",,,
C,5,,,,,,,,2000-02-24,1989-07-10,1998-07-25,,579,"1 years, 6 months",,,
C,6,,,,,,,,2000-01-27,1989-07-10,1998-07-25,,551,"1 years, 6 months",,,
D,1,,,,,,,,1999-05-14,1995-04-04,1999-07-08,,1501,"4 years, 1 months",,,
D,2,,,,,,,,1999-05-18,1995-04-04,1999-07-08,,1505,"4 years, 1 months",,,
D,3,,,,,,,,1999-05-11,1995-04-04,1999-07-08,,1498,"4 years, 1 months",,,
D,4,,,,,,,,1999-05-06,1995-04-04,1999-07-08,,1493,"4 years, 1 months",,,
D,5,,,,,,,,1999-06-16,1995-04-04,1999-07-08,,1534,"4 years, 2 months",,,
D,6,,,,,,,,1999-04-08,1995-04-04,1999-07-08,,1465,"4 years, 0 months",,,
F1,1,,,,,,,,1998-03-06,1996-05-29,1998-06-04,,646,"1 years, 9 months",,,
F1,2,,,,,,,,1998-02-12,1996-05-29,1998-06-04,,624,"1 years, 8 months",,,
F1,3,,,,,,,,1998-01-22,1996-05-29,1998-06-04,,603,"1 years, 7 months",,,
F1,4,,,,,,,,1998-01-19,1996-05-29,1998-06-04,,600,"1 years, 7 months",,,
F1,5,,,,,,,,1998-01-09,1996-05-29,1998-06-04,,590,"1 years, 7 months",,,
F1,6,,,,,,,,1998-01-06,1996-05-29,1998-06-04,,587,"1 years, 7 months",,,
F1,7,,,,,,,,1998-01-14,1996-05-29,1998-06-04,,595,"1 years, 7 months",,,
G,1,,,,,,,,2000-02-22,1989-07-25,1999-06-05,,262,"0 year, 8 months",,,
G,2,,,,,,,,2000-01-12,1989-07-25,1999-06-05,,221,"0 year, 7 months",,,
G,3,,,,,,,,2000-01-14,1989-07-25,1999-06-05,,223,"0 year, 7 months",,,
G,4,,,,,,,,2000-01-06,1989-07-25,1999-06-05,,215,"0 year, 7 months",,,
G,5,,,,,,,,1999-12-17,1989-07-25,1999-06-05,,195,"0 year, 6 months",,,
G,6,,,,,,,,1999-12-13,1989-07-25,1999-06-05,,191,"0 year, 6 months",,,
H,1,,,,,,,,1998-04-10,1989-07-15,1998-08-02,,3191,"8 years, 8 months",,,
H,2,,,,,,,,1998-04-06,1989-07-15,1998-08-02,,3187,"8 years, 8 months",,,
H,3,,,,,,,,1998-04-08,1989-07-15,1998-08-02,,3189,"8 years, 8 months",,,
H,4,,,,,,,,1998-04-16,1989-07-15,1998-08-02,,3197,"8 years, 9 months",,,
H,5,,,,,,,,1998-04-14,1989-07-15,1998-08-02,,3195,"8 years, 8 months",,,
H,1,,,,,,,,2000-02-11,1989-07-15,1998-08-02,,558,"1 years, 6 months",,,
H,2,,,,,,,,2000-02-09,1989-07-15,1998-08-02,,556,"1 years, 6 months",,,
H,3,,,,,,,,1999-12-06,1989-07-15,1998-08-02,,491,"1 years, 4 months",,,
H,4,,,,,,,,1999-11-29,1989-07-15,1998-08-02,,484,"1 years, 3 months",,,
H,5,,,,,,,,1999-11-19,1989-07-15,1998-08-02,,474,"1 years, 3 months",,,
I,1,,,,,,,,1996-06-13,1995-06-10,1997-06-26,1999-06-14,369,"1 years, 0 months",,,
I,2,,,,,,,,1996-06-04,1995-06-10,1997-06-26,1999-06-14,360,"0 years, 11 months",,,
I,3,,,,,,,,1996-11-27,1995-06-10,1997-06-26,1999-06-14,536,"1 years, 5 months",,,
I,4,,,,,,,,1996-10-10,1995-06-10,1997-06-26,1999-06-14,488,"1 years, 4 months",,,
I,5,,,,,,,,1996-05-28,1995-06-10,1997-06-26,1999-06-14,353,"0 years, 11 months",,,
I,6,,,,,,,,1996-04-29,1995-06-10,1997-06-26,1999-06-14,324,"0 years, 10 months",,,
I,1,,,,,,,,1999-02-11,1995-06-10,1997-06-26,1999-06-14,595,"1 years, 7 months",,,
I,2,,,,,,,,1999-01-22,1995-06-10,1997-06-26,1999-06-14,575,"1 years, 6 months",,,
I,3,,,,,,,,1999-10-07,1995-06-10,1997-06-26,1999-06-14,833,"2 years, 3 months",,,
I,5,,,,,,,,1999-02-02,1995-06-10,1997-06-26,1999-06-14,586,"1 years, 7 months",,,
I,6,,,,,,,,1999-02-09,1995-06-10,1997-06-26,1999-06-14,593,"1 years, 7 months",,,
I,1,,,,,,,,2000-05-24,1995-06-10,1997-06-26,1999-06-14,345,"0 years, 11 months",,,
I,2,,,,,,,,2000-06-04,1995-06-10,1997-06-26,1999-06-14,356,"0 years, 11 months",,,
I,3,,,,,,,,2000-06-05,1995-06-10,1997-06-26,1999-06-14,357,"0 years, 11 months",,,
I,4,,,,,,,,2000-06-06,1995-06-10,1997-06-26,1999-06-14,358,"0 years, 11 months",,,
I,5,,,,,,,,2000-06-07,1995-06-10,1997-06-26,1999-06-14,359,"0 years, 11 months",,,
I,6,,,,,,,,2000-06-08,1995-06-10,1997-06-26,1999-06-14,360,"0 years, 11 months",,,
I2,1,,,,,,,,1998-04-20,1989-09-27,1998-08-10,1999-07-16,3127,"8 years, 6 months",,,
I2,2,,,,,,,,1998-03-18,1989-09-27,1998-08-10,1999-07-16,3094,"8 years, 5 months",,,
I2,3,,,,,,,,1998-03-20,1989-09-27,1998-08-10,1999-07-16,3096,"8 years, 5 months",,,
I2,4,,,,,,,,1998-03-24,1989-09-27,1998-08-10,1999-07-16,3100,"8 years, 5 months",,,
I2,5,,,,,,,,1998-03-30,1989-09-27,1998-08-10,1999-07-16,3106,"8 years, 6 months",,,
I2,1,,,,,,,,2000-02-08,1989-09-27,1998-08-10,1999-07-16,207,"0 years, 6 months",,,
I2,2,,,,,,,,2000-01-24,1989-09-27,1998-08-10,1999-07-16,192,"0 years, 6 months",,,
I2,3,,,,,,,,1999-11-10,1989-09-27,1998-08-10,1999-07-16,117,"0 years, 3 months",,,
I2,4,,,,,,,,1999-11-03,1989-09-27,1998-08-10,1999-07-16,110,"0 years, 3 months",,,
I2,5,,,,,,,,1999-10-29,1989-09-27,1998-08-10,1999-07-16,105,"0 years, 3 months",,,
J,1,,,,,,,,1996-12-27,1995-07-22,1998-08-01,1999-07-16,524,"1 years, 5 months",,,
J,2,,,,,,,,1996-06-17,1995-07-22,1998-08-02,1999-07-16,331,"0 years, 10 months",,,
J,3,,,,,,,,1996-12-19,1995-07-22,1998-08-02,1999-07-16,516,"1 years, 4 months",,,
J,4,,,,,,,,1996-12-12,1995-07-22,1998-08-02,1999-07-16,509,"1 years, 4 months",,,
J,5,,,,,,,,1996-11-20,1995-07-22,1998-08-02,1999-07-16,487,"1 years, 3 months",,,
J,6,,,,,,,,1996-10-28,1995-07-22,1998-08-02,1999-07-16,464,"1 years, 3 months",,,
J,7,,,,,,,,1996-10-23,1995-07-22,1998-08-02,1999-07-16,459,"1 years, 3 months",,,
J,8,,,,,,,,1996-06-22,1995-07-22,1998-08-02,1999-07-16,336,"0 years, 11 months",,,
J,2,,,,,,,,1999-02-25,1995-07-22,1998-08-02,1999-07-16,207,"0 years, 6 months",,,
J,3,,,,,,,,1999-02-25,1995-07-22,1998-08-03,1999-07-16,206,"0 years, 6 months",,,
J,4,,,,,,,,1999-02-22,1995-07-22,1998-08-04,1999-07-16,202,"0 years, 6 months",,,
J,5,,,,,,,,1999-02-18,1995-07-22,1998-08-05,1999-07-16,197,"0 years, 6 months",,,
J,6,,,,,,,,1999-02-16,1995-07-22,1998-08-06,1999-07-16,194,"0 years, 6 months",,,
J,7,,,,,,,,1999-02-17,1995-07-22,1998-08-07,1999-07-16,194,"0 years, 6 months",,,
J,8,,,,,,,,1999-02-18,1995-07-22,1998-08-08,1999-07-16,194,"0 years, 6 months",,,
TS,2,,,,,,,,1999-05-04,,,,,,,,
TS,3,,,,,,,,1999-03-22,,,,,,,,
TS,4,,,,,,,,1999-03-19,,,,,,,,
TS,5,,,,,,,,1999-03-23,,,,,,,,
TS,6,,,,,,,,1999-03-11,,,,,,,,
TS,7,,,,,,,,1999-03-08,,,,,,,,
TS,8,,,,,,,,1999-03-03,,,,,,,,
TS,9,,,,,,,,1998-04-24,,,,,,,,
TS,10,,,,,,,,1997-05-13,,,,,,,,
TS,11,,,,,,,,1997-04-30,,,,,,,,
TS,12,,,,,,,,1997-12-19,,,,,,,,
TS,13,,,,,,,,1997-12-12,,,,,,,,
TS,14,,,,,,,,1997-12-05,,,,,,,,
TS,15,,,,,,,,1997-11-19,,,,,,,,
,,,,,,,,,,,,,,,,,
